Rentrée universitaire;Niveau géographique;Unité géographique;Regroupements de formations ou d’établissements;Secteur de l’établissement d’inscription
2009-10;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2009-10;Académie;Rennes;Écoles juridiques et administratives;Établissements publics
2009-10;Académie;Rennes;Écoles juridiques et administratives;Établissements privés
2009-10;Académie;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2009-10;Académie;Rennes;Autres formations d'ingénieurs;Établissements publics
2009-10;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2009-10;Commune;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2009-10;Commune;Rennes;Écoles paramédicales et sociales;Établissements privés
2009-10;Commune;Rennes;Autres écoles de spécialités diverses;Établissements publics
2009-10;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2009-10;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2009-10;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2009-10;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2009-10;Académie;Rennes;Écoles supérieures art et culture;Établissements publics
2009-10;Académie;Rennes;Écoles supérieures art et culture;Établissements publics
2009-10;Académie;Rennes;Écoles supérieures art et culture;Établissements privés
2009-10;Académie;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2009-10;Académie;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2009-10;Académie;Rennes;Autres écoles de spécialités diverses;Établissements privés
2009-10;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2009-10;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2009-10;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2009-10;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2009-10;Unité urbaine;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2009-10;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements publics
2009-10;Unité urbaine;Rennes;Écoles juridiques et administratives;Établissements privés
2009-10;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements privés
2009-10;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements publics
2009-10;Unité urbaine;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2009-10;Académie;Rennes;Écoles paramédicales et sociales;Établissements publics
2009-10;Académie;Rennes;Écoles paramédicales et sociales;Établissements publics
2009-10;Académie;Rennes;Écoles paramédicales et sociales;Établissements privés
2009-10;Académie;Rennes;Écoles normales supérieures (ENS);Établissements publics
2009-10;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2009-10;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2009-10;Académie;Rennes;Universités;Établissements publics
2009-10;Académie;Rennes;Universités;Établissements publics
2009-10;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2009-10;Commune;Rennes;Autres formations d'ingénieurs;Établissements publics
2009-10;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2009-10;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements privés
2009-10;Unité urbaine;Rennes;Écoles juridiques et administratives;Établissements privés
2009-10;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements privés
2009-10;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements privés
2009-10;Unité urbaine;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2009-10;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements privés
2010-11;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2010-11;Commune;Rennes;Écoles supérieures art et culture;Établissements publics
2010-11;Commune;Rennes;Écoles supérieures art et culture;Établissements publics
2010-11;Commune;Rennes;Écoles paramédicales et sociales;Établissements privés
2010-11;Commune;Rennes;Autres écoles de spécialités diverses;Établissements publics
2010-11;Commune;Rennes;Autres formations d'ingénieurs;Établissements publics
2010-11;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2010-11;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2010-11;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2010-11;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2010-11;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2010-11;Académie;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2010-11;Académie;Rennes;Autres écoles de spécialités diverses;Établissements publics
2010-11;Académie;Rennes;Autres écoles de spécialités diverses;Établissements privés
2010-11;Académie;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2010-11;Académie;Rennes;Autres formations d'ingénieurs;Établissements publics
2010-11;Académie;Rennes;Autres formations d'ingénieurs;Établissements privés
2010-11;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2010-11;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2010-11;Académie;Rennes;Universités;Établissements publics
2010-11;Académie;Rennes;Universités;Établissements publics
2010-11;Unité urbaine;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2010-11;Unité urbaine;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2010-11;Unité urbaine;Rennes;Écoles juridiques et administratives;Établissements privés
2010-11;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements privés
2010-11;Unité urbaine;Rennes;Écoles normales supérieures (ENS);Établissements publics
2010-11;Unité urbaine;Rennes;Écoles normales supérieures (ENS);Établissements publics
2010-11;Unité urbaine;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2010-11;Unité urbaine;Rennes;Universités;Établissements publics
2010-11;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2010-11;Académie;Rennes;Écoles juridiques et administratives;Établissements privés
2010-11;Académie;Rennes;Écoles paramédicales et sociales;Établissements privés
2010-11;Académie;Rennes;Autres écoles de spécialités diverses;Établissements publics
2010-11;Académie;Rennes;Écoles normales supérieures (ENS);Établissements publics
2010-11;Académie;Rennes;Autres formations d'ingénieurs;Établissements privés
2010-11;Unité urbaine;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2010-11;Unité urbaine;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2010-11;Unité urbaine;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2010-11;Unité urbaine;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2010-11;Unité urbaine;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2010-11;Unité urbaine;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2010-11;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2010-11;Académie;Rennes;Écoles supérieures art et culture;Établissements privés
2010-11;Académie;Rennes;Écoles supérieures art et culture;Établissements privés
2010-11;Académie;Rennes;Écoles juridiques et administratives;Établissements publics
2010-11;Académie;Rennes;Écoles juridiques et administratives;Établissements publics
2010-11;Académie;Rennes;Écoles juridiques et administratives;Établissements privés
2010-11;Académie;Rennes;Écoles normales supérieures (ENS);Établissements publics
2010-11;Académie;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2010-11;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2010-11;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2010-11;Unité urbaine;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2010-11;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements publics
2010-11;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements publics
2010-11;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements privés
2010-11;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements publics
2010-11;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements publics
2010-11;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements publics
2010-11;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements privés
2010-11;Unité urbaine;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2010-11;Unité urbaine;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2010-11;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements publics
2010-11;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements privés
2010-11;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements privés
2010-11;Unité urbaine;Rennes;Universités;Établissements publics
2010-11;Commune;Rennes;Écoles supérieures art et culture;Établissements privés
2010-11;Commune;Rennes;Écoles paramédicales et sociales;Établissements publics
2010-11;Commune;Rennes;Autres écoles de spécialités diverses;Établissements privés
2010-11;Unité urbaine;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2010-11;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements privés
2010-11;Unité urbaine;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2010-11;Unité urbaine;Rennes;Écoles juridiques et administratives;Établissements privés
2010-11;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements publics
2010-11;Unité urbaine;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2010-11;Commune;Rennes;Écoles supérieures art et culture;Établissements privés
2010-11;Commune;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2010-11;Commune;Rennes;Écoles juridiques et administratives;Établissements privés
2010-11;Commune;Rennes;Écoles paramédicales et sociales;Établissements privés
2010-11;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2010-11;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2010-11;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2010-11;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2010-11;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2010-11;Commune;Rennes;Autres écoles de spécialités diverses;Établissements privés
2010-11;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2010-11;Commune;Rennes;Universités;Établissements publics
2010-11;Académie;Rennes;Écoles supérieures art et culture;Établissements publics
2010-11;Académie;Rennes;Écoles paramédicales et sociales;Établissements publics
2010-11;Académie;Rennes;Écoles paramédicales et sociales;Établissements privés
2010-11;Académie;Rennes;Autres écoles de spécialités diverses;Établissements privés
2010-11;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2010-11;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2010-11;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements privés
2010-11;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements privés
2010-11;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements publics
2010-11;Unité urbaine;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2010-11;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2010-11;Commune;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2010-11;Commune;Rennes;Écoles juridiques et administratives;Établissements privés
2010-11;Commune;Rennes;Écoles paramédicales et sociales;Établissements publics
2010-11;Commune;Rennes;Autres écoles de spécialités diverses;Établissements publics
2010-11;Commune;Rennes;Autres formations d'ingénieurs;Établissements publics
2010-11;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2010-11;Commune;Rennes;Universités;Établissements publics
2010-11;Académie;Rennes;Écoles supérieures art et culture;Établissements publics
2010-11;Académie;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2010-11;Académie;Rennes;Écoles paramédicales et sociales;Établissements publics
2010-11;Académie;Rennes;Autres formations d'ingénieurs;Établissements publics
2010-11;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2010-11;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2011-12;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2011-12;Académie;Rennes;Écoles supérieures art et culture;Établissements publics
2011-12;Académie;Rennes;Écoles supérieures art et culture;Établissements publics
2011-12;Académie;Rennes;Écoles juridiques et administratives;Établissements publics
2011-12;Académie;Rennes;Écoles paramédicales et sociales;Établissements publics
2011-12;Académie;Rennes;Autres écoles de spécialités diverses;Établissements privés
2011-12;Académie;Rennes;Écoles normales supérieures (ENS);Établissements publics
2011-12;Académie;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2011-12;Académie;Rennes;Autres formations d'ingénieurs;Établissements privés
2011-12;Académie;Rennes;Autres formations d'ingénieurs;Établissements publics
2011-12;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2011-12;Académie;Rennes;Universités;Établissements publics
2011-12;Unité urbaine;Rennes;Écoles juridiques et administratives;Établissements privés
2011-12;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements privés
2011-12;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2011-12;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2011-12;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2011-12;Commune;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2011-12;Commune;Rennes;Universités;Établissements publics
2011-12;Commune;Rennes;Universités;Établissements publics
2011-12;Unité urbaine;Rennes;Écoles normales supérieures (ENS);Établissements publics
2011-12;Unité urbaine;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2011-12;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements privés
2011-12;Unité urbaine;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2011-12;Unité urbaine;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2011-12;Unité urbaine;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2011-12;Unité urbaine;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2011-12;Commune;Rennes;Écoles supérieures art et culture;Établissements privés
2011-12;Commune;Rennes;Écoles paramédicales et sociales;Établissements publics
2011-12;Commune;Rennes;Écoles paramédicales et sociales;Établissements publics
2011-12;Commune;Rennes;Écoles paramédicales et sociales;Établissements privés
2011-12;Commune;Rennes;Autres écoles de spécialités diverses;Établissements publics
2011-12;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2011-12;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2011-12;Unité urbaine;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2011-12;Unité urbaine;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2011-12;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements privés
2011-12;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements publics
2011-12;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements privés
2011-12;Unité urbaine;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2011-12;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2011-12;Académie;Rennes;Écoles supérieures art et culture;Établissements privés
2011-12;Académie;Rennes;Écoles supérieures art et culture;Établissements privés
2011-12;Académie;Rennes;Autres écoles de spécialités diverses;Établissements privés
2011-12;Académie;Rennes;Écoles normales supérieures (ENS);Établissements publics
2011-12;Académie;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2011-12;Académie;Rennes;Autres formations d'ingénieurs;Établissements publics
2011-12;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2011-12;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2011-12;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2011-12;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2011-12;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2011-12;Académie;Rennes;Universités;Établissements publics
2011-12;Académie;Rennes;Écoles paramédicales et sociales;Établissements privés
2011-12;Académie;Rennes;Écoles paramédicales et sociales;Établissements privés
2011-12;Commune;Rennes;Écoles supérieures art et culture;Établissements privés
2011-12;Commune;Rennes;Autres formations d'ingénieurs;Établissements publics
2011-12;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2011-12;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2011-12;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2011-12;Commune;Rennes;Écoles supérieures art et culture;Établissements publics
2011-12;Commune;Rennes;Écoles paramédicales et sociales;Établissements privés
2011-12;Commune;Rennes;Autres écoles de spécialités diverses;Établissements publics
2011-12;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2011-12;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2011-12;Académie;Rennes;Écoles paramédicales et sociales;Établissements publics
2011-12;Académie;Rennes;Autres écoles de spécialités diverses;Établissements publics
2011-12;Académie;Rennes;Autres formations d'ingénieurs;Établissements privés
2011-12;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2011-12;Unité urbaine;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2011-12;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements publics
2011-12;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements privés
2011-12;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements publics
2011-12;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements privés
2011-12;Unité urbaine;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2011-12;Unité urbaine;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2011-12;Unité urbaine;Rennes;Universités;Établissements publics
2011-12;Commune;Rennes;Écoles supérieures art et culture;Établissements publics
2011-12;Commune;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2011-12;Commune;Rennes;Écoles juridiques et administratives;Établissements privés
2011-12;Commune;Rennes;Écoles juridiques et administratives;Établissements privés
2011-12;Commune;Rennes;Autres écoles de spécialités diverses;Établissements privés
2011-12;Commune;Rennes;Autres écoles de spécialités diverses;Établissements privés
2011-12;Commune;Rennes;Autres formations d'ingénieurs;Établissements publics
2011-12;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2011-12;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2011-12;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2011-12;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements publics
2011-12;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements privés
2011-12;Unité urbaine;Rennes;Écoles juridiques et administratives;Établissements privés
2011-12;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements publics
2011-12;Unité urbaine;Rennes;Écoles normales supérieures (ENS);Établissements publics
2011-12;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements publics
2011-12;Unité urbaine;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2011-12;Unité urbaine;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2011-12;Unité urbaine;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2011-12;Unité urbaine;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2011-12;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements publics
2011-12;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements privés
2011-12;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements publics
2011-12;Unité urbaine;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2011-12;Unité urbaine;Rennes;Universités;Établissements publics
2011-12;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2011-12;Académie;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2011-12;Académie;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2011-12;Académie;Rennes;Écoles juridiques et administratives;Établissements publics
2011-12;Académie;Rennes;Écoles juridiques et administratives;Établissements privés
2011-12;Académie;Rennes;Écoles juridiques et administratives;Établissements privés
2011-12;Académie;Rennes;Autres écoles de spécialités diverses;Établissements publics
2011-12;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2012-13;Commune;Rennes;Écoles paramédicales et sociales;Établissements publics
2012-13;Commune;Rennes;Autres écoles de spécialités diverses;Établissements publics
2012-13;Commune;Rennes;Autres écoles de spécialités diverses;Établissements publics
2012-13;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2012-13;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2012-13;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2012-13;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2012-13;Commune;Rennes;Écoles supérieures art et culture;Établissements publics
2012-13;Commune;Rennes;Écoles supérieures art et culture;Établissements privés
2012-13;Commune;Rennes;Autres formations d'ingénieurs;Établissements publics
2012-13;Commune;Rennes;Autres formations d'ingénieurs;Établissements publics
2012-13;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2012-13;Commune;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2012-13;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2012-13;Unité urbaine;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2012-13;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements privés
2012-13;Commune;Rennes;Écoles supérieures art et culture;Établissements publics
2012-13;Commune;Rennes;Écoles supérieures art et culture;Établissements privés
2012-13;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements publics
2012-13;Unité urbaine;Rennes;Écoles normales supérieures (ENS);Établissements publics
2012-13;Unité urbaine;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2012-13;Unité urbaine;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2012-13;Unité urbaine;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2012-13;Académie;Rennes;Écoles supérieures art et culture;Établissements publics
2012-13;Académie;Rennes;Autres écoles de spécialités diverses;Établissements publics
2012-13;Académie;Rennes;Écoles normales supérieures (ENS);Établissements publics
2012-13;Académie;Rennes;Autres formations d'ingénieurs;Établissements publics
2012-13;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2012-13;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2012-13;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2012-13;Commune;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2012-13;Commune;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2012-13;Commune;Rennes;Écoles juridiques et administratives;Établissements privés
2012-13;Commune;Rennes;Écoles juridiques et administratives;Établissements privés
2012-13;Commune;Rennes;Écoles paramédicales et sociales;Établissements publics
2012-13;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2012-13;Commune;Rennes;Écoles paramédicales et sociales;Établissements privés
2012-13;Commune;Rennes;Écoles paramédicales et sociales;Établissements privés
2012-13;Commune;Rennes;Autres écoles de spécialités diverses;Établissements privés
2012-13;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2012-13;Commune;Rennes;Universités;Établissements publics
2012-13;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2012-13;Académie;Rennes;Écoles supérieures art et culture;Établissements publics
2012-13;Académie;Rennes;Écoles paramédicales et sociales;Établissements privés
2012-13;Académie;Rennes;Écoles paramédicales et sociales;Établissements privés
2012-13;Académie;Rennes;Autres formations d'ingénieurs;Établissements publics
2012-13;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements publics
2012-13;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2012-13;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements publics
2012-13;Commune;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2012-13;Commune;Rennes;Autres écoles de spécialités diverses;Établissements privés
2012-13;Commune;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2012-13;Commune;Rennes;Universités;Établissements publics
2012-13;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2012-13;Académie;Rennes;Écoles supérieures art et culture;Établissements privés
2012-13;Académie;Rennes;Écoles supérieures art et culture;Établissements privés
2012-13;Académie;Rennes;Écoles juridiques et administratives;Établissements publics
2012-13;Académie;Rennes;Écoles juridiques et administratives;Établissements privés
2012-13;Académie;Rennes;Écoles paramédicales et sociales;Établissements publics
2012-13;Académie;Rennes;Autres écoles de spécialités diverses;Établissements publics
2012-13;Académie;Rennes;Autres écoles de spécialités diverses;Établissements privés
2012-13;Académie;Rennes;Écoles normales supérieures (ENS);Établissements publics
2012-13;Académie;Rennes;Autres formations d'ingénieurs;Établissements privés
2012-13;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2012-13;Académie;Rennes;Total des formations d'enseignement supérieur;Établissements privés
2012-13;Académie;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2012-13;Académie;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2012-13;Académie;Rennes;Écoles paramédicales et sociales;Établissements publics
2012-13;Académie;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2012-13;Académie;Rennes;Autres formations d'ingénieurs;Établissements privés
2012-13;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements publics
2012-13;Unité urbaine;Rennes;Écoles supérieures art et culture;Établissements privés
2012-13;Unité urbaine;Rennes;Écoles juridiques et administratives;Établissements privés
2012-13;Unité urbaine;Rennes;Écoles juridiques et administratives;Établissements privés
2012-13;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements publics
2012-13;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements privés
2012-13;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements privés
2012-13;Unité urbaine;Rennes;Écoles normales supérieures (ENS);Établissements publics
2012-13;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements publics
2012-13;Unité urbaine;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2012-13;Unité urbaine;Rennes;Universités;Établissements publics
2012-13;Unité urbaine;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2012-13;Unité urbaine;Rennes;Ecoles de commerce, gestion et comptabilité;Établissements privés
2012-13;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements privés
2012-13;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements publics
2012-13;Académie;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2012-13;Académie;Rennes;Écoles juridiques et administratives;Établissements publics
2012-13;Académie;Rennes;Écoles juridiques et administratives;Établissements privés
2012-13;Académie;Rennes;Autres écoles de spécialités diverses;Établissements privés
2012-13;Académie;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2012-13;Académie;Rennes;Sections de techniciens supérieurs (STS) et assimilés;Établissements privés
2012-13;Académie;Rennes;Universités;Établissements publics
2012-13;Académie;Rennes;Universités;Établissements publics
2012-13;Unité urbaine;Rennes;Classes préparatoires aux grandes écoles (CPGE);Établissements privés
2012-13;Unité urbaine;Rennes;Écoles paramédicales et sociales;Établissements privés
2012-13;Unité urbaine;Rennes;Autres écoles de spécialités diverses;Établissements publics
2012-13;Unité urbaine;Rennes;Etablissements d'enseignement universitaire privés;Établissements privés
2012-13;Unité urbaine;Rennes;Autres formations d'ingénieurs;Établissements publics
