rentrée;Rentrée universitaire;Niveau géographique;Unité géographique;regroupement;Regroupements de formations ou d’établissements;secteur;Secteur de l’établissement d’inscription;sexe;Sexe de l’étudiant;Nombre total d’étudiants inscrits;A des effectifs en formations de DUT;Nombre d’étudiants inscrits en DUT;A des effectifs en formations d'ingénieurs;Nombre d’étudiants inscrits dans les formations d’Ingénieur;diffusable;Données diffusables;secret;Données soumises au secret statistique;niveau_geo;Identifiant de l’unité géographique;Identifiant de la région;Identifiant de l'académie;Identifiant du département;Identifiant de l'unité urbaine
2012;2012-13;Commune;Rennes;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;4891.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2016;2016-17;Académie;Rennes;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;1956.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2016;2016-17;Académie;Rennes;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;2;Feminin;875.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2016;2016-17;Académie;Rennes;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;1;Masculin;153.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2016;2016-17;Académie;Rennes;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;424.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2016;2016-17;Académie;Rennes;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;1966.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2016;2016-17;Académie;Rennes;ENS;Écoles normales supérieures (ENS);PU;Établissements publics;2;Feminin;113.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2016;2016-17;Académie;Rennes;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;1;Masculin;4003.0;non;;oui;4003.0;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2016;2016-17;Académie;Rennes;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;56049.0;oui;2532;oui;1948.0;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2016;2016-17;Académie;Rennes;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;49019.0;oui;4103;oui;4927.0;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2016;2016-17;Académie;Rennes;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;11864.0;non;;oui;257.0;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2002;2002-03;Commune;Rennes;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;535.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;2;Feminin;87.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;316.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;1;Masculin;412.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;2;Feminin;162.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
